sciName,comName,locName,obsReviewed,obsValid,obsDt,lat,howMany,subId,locationPrivate,lng,speciesCode,locId
Calidris mauri,Western Sandpiper,Rio San Cristobal--Laguna de Zoquipan a Carretera 74,False,True,2024-02-18 06:41,21.5931179,20,S162077107,False,-105.2562332,wessan,L503034
Calidris mauri,Western Sandpiper,Ocean Park,False,True,2024-02-19 20:22,46.4921277,4,S162322553,False,-124.0538337,wessan,L340478
Calidris mauri,Western Sandpiper,Tsawwassen Ferry Terminal Jetty,True,True,2024-02-19 16:00,49.0157109,1,S162321812,False,-123.117063,wessan,L282714
Calidris mauri,Western Sandpiper,Playa de Golfo de Santa Clara,False,True,2024-02-19 08:16,31.6808025,600,S162304257,False,-114.4950485,wessan,L3480257
Calidris mauri,Western Sandpiper,Tarquinas,False,True,2024-02-19 16:31,22.2106483,210,S162301337,True,-105.3274,wessan,L18218293
Calidris mauri,Western Sandpiper,Niland Boat Launch,False,True,2024-02-20 17:11,33.3387838,23,S162417881,False,-115.6670022,wessan,L1228164
Calidris mauri,Western Sandpiper,Bayocean Spit--ocean (west) side,False,True,2024-02-20 16:15,45.5231871,1,S162414418,False,-123.954277,wessan,L686417
Calidris mauri,Western Sandpiper,Delta—Brunswick Point (34th St Entrance),True,True,2024-02-20 14:16,49.0538375,3,S162427530,False,-123.1305235,wessan,L4472909
Calidris mauri,Western Sandpiper,Rio San Cristobal--Laguna de Zoquipan a Carretera 74,False,True,2024-02-20 08:50,21.5931179,120,S162378473,False,-105.2562332,wessan,L503034
Calidris mauri,Western Sandpiper,Antigua Estación de Tren,False,True,2024-02-20 09:25,20.2979798,2,S162431296,False,-103.177296,wessan,L2088393
Calidris mauri,Western Sandpiper,San Diego River mudflats (including Robb Field & north side),False,True,2024-02-21 17:03,32.7568803,50,S162511529,False,-117.2401432,wessan,L506275
Calidris mauri,Western Sandpiper,Billy Frank Jr. Nisqually NWR--Estuary Boardwalk Trail,True,True,2024-02-21 10:09,47.0898654,3,S162552560,False,-122.7250109,wessan,L1909499
Calidris mauri,Western Sandpiper,Rio Pitillal,False,True,2024-02-21 08:00,20.648921,,S162513166,False,-105.2255863,wessan,L1145896
Calidris mauri,Western Sandpiper,Shollenberger Park,False,True,2024-02-22 17:55,38.2262552,,S162598694,False,-122.5976274,wessan,L198798
Calidris mauri,Western Sandpiper,Griffiths-Priday State Park,False,True,2024-02-22 12:35,47.1248819,7,S162587818,False,-124.1828041,wessan,L784288
Calidris mauri,Western Sandpiper,"Campo Solosport, Punta San Carlos, 22967, Ensenada MX-B.C. (29.6169,-115.4991)",False,True,2024-02-22 13:52,29.616944,7,S162600221,True,-115.499093,wessan,L29488315
