subId,lat,locationPrivate,locName,obsDt,sciName,howMany,locId,obsValid,speciesCode,obsReviewed,lng,comName
S19593768,44.0561844,False,"Fern Ridge WMA--Fisher Butte Unit south (dikes around Pond 1, 2, and east edge of 3)",2014-08-27 18:00,Calidris mauri,300,L716976,True,wessan,False,-123.2576752,Western Sandpiper
S19592407,47.0586041,False,Olympia--KGY Point,2014-08-27 18:16,Calidris mauri,15,L1325204,True,wessan,False,-122.9038811,Western Sandpiper
S20446120,59.4278983,False,Middleton Island (restricted access),2014-08-27 14:30,Calidris mauri,163,L559390,True,wessan,False,-146.33008,Western Sandpiper
S19594909,49.2188889,False,Iona Island Inner Ponds (NOW CLOSED TO PUBLIC),2014-08-27 18:30,Calidris mauri,,L339172,True,wessan,False,-123.2055556,Western Sandpiper
S19601678,34.2316739,False,Santa Clara River Estuary,2014-08-28 17:39,Calidris mauri,21,L297806,True,wessan,False,-119.2627716,Western Sandpiper
S19601452,42.446052,True,Wilson's Pond,2014-08-28 19:49,Calidris mauri,3,L1414604,True,wessan,False,-122.8324635,Western Sandpiper
S19600767,47.0586041,False,Olympia--KGY Point,2014-08-28 17:56,Calidris mauri,3,L1325204,True,wessan,False,-122.9038811,Western Sandpiper
S19606483,63.7793007,False,Gambell (general area),2014-08-28 18:00,Calidris mauri,4,L246497,True,wessan,False,-171.7214584,Western Sandpiper
S19605214,49.0730526,False,Delta—Boundary Bay - 96th to 104th Sts.,2014-08-28 18:15,Calidris mauri,1500,L340159,True,wessan,False,-122.9484991,Western Sandpiper
S19610058,37.8725498,False,McLaughlin Eastshore SP--North Basin,2014-08-29 17:45,Calidris mauri,2,L461333,True,wessan,False,-122.311424,Western Sandpiper
S19609884,42.4336881,False,White City Lagoons (Kirtland Rd. Ponds),2014-08-29 18:30,Calidris mauri,10,L463228,True,wessan,False,-122.9128075,Western Sandpiper
S19612683,48.2320943,False,Leque Island--Eide Rd.,2014-08-29 18:38,Calidris mauri,75,L1667064,True,wessan,False,-122.3829746,Western Sandpiper
S19657824,59.7790573,False,Anchor Point,2014-08-29 17:00,Calidris mauri,3,L767320,True,wessan,False,-151.8633485,Western Sandpiper
S19610192,50.60106,False,Port McNeill--West Bay (North Access),2014-08-29 19:06,Calidris mauri,500,L3060442,True,wessan,False,-127.13132,Western Sandpiper
S19619958,37.2681846,False,"Pescadero Marsh and Natural Preserve--(North pond,lagoon and marsh trails east of Hwy 1)",2014-08-30 22:25,Calidris mauri,11,L459755,True,wessan,False,-122.4079944,Western Sandpiper
S19619328,44.5185755,False,Philomath Sewage Ponds (restricted access),2014-08-30 19:25,Calidris mauri,5,L493044,True,wessan,False,-123.3444586,Western Sandpiper
S19619897,47.0812514,False,Billy Frank Jr. Nisqually NWR,2014-08-30 18:55,Calidris mauri,10,L282253,True,wessan,False,-122.7180576,Western Sandpiper
S19645042,60.3859137,False,Kasilof--Kasilof River Mouth,2014-08-30 16:10,Calidris mauri,7,L1067145,True,wessan,False,-151.302166,Western Sandpiper
S19623654,49.2213299,False,Iona Island (General),2014-08-30 19:00,Calidris mauri,16,L261851,True,wessan,False,-123.2110997,Western Sandpiper
S19631380,38.6543655,False,Farmers Central Rd.--pond at CR102,2014-08-31 18:30,Calidris mauri,60,L892337,True,wessan,False,-121.7281455,Western Sandpiper
S19629791,42.1396049,True,Emigrant Reservoir -- southwest edge,2014-08-31 18:34,Calidris mauri,1,L1011383,True,wessan,False,-122.6184082,Western Sandpiper
S19655331,47.4378813,False,Theler Wetlands,2014-08-31 17:40,Calidris mauri,30,L250091,True,wessan,False,-122.8411134,Western Sandpiper
S209330552,58.72253,True,Mile 0.5 Wolverine Drive (Savage Blush Residencd) traveling count to west,2014-08-31 09:15,Calidris mauri,50,L39432512,True,wessan,False,-156.810722,Western Sandpiper
S19630889,49.2058333,False,Iona Island--South Jetty,2014-08-31 18:17,Calidris mauri,290,L339173,True,wessan,False,-123.2627778,Western Sandpiper
S19643779,34.1767221,False,Sepulveda Basin--East of Woodley Ave,2014-09-01 17:16,Calidris mauri,2,L194688,True,wessan,False,-118.4737308,Western Sandpiper
S19643935,45.5064875,False,Fernhill Wetlands (general),2014-09-01 18:45,Calidris mauri,2,L163529,True,wessan,False,-123.0851855,Western Sandpiper
S19642386,47.9941723,False,Discovery Bay,2014-09-01 17:19,Calidris mauri,1,L808110,True,wessan,False,-122.8819084,Western Sandpiper
S19645061,60.3859137,False,Kasilof--Kasilof River Mouth,2014-09-01 17:10,Calidris mauri,20,L1067145,True,wessan,True,-151.302166,Western Sandpiper
S19644335,49.2058333,False,Iona Island--South Jetty,2014-09-01 18:15,Calidris mauri,150,L339173,True,wessan,False,-123.2627778,Western Sandpiper
S19655234,41.832863,False,Lake Tolowa,2014-09-02 18:45,Calidris mauri,1600,L485952,True,wessan,False,-124.2165756,Western Sandpiper
S19654602,42.9566738,False,Malheur NWR--Benson Pond,2014-09-02 17:49,Calidris mauri,9,L740752,True,wessan,False,-118.8657188,Western Sandpiper
S19655310,48.1114603,False,Kah Tai Lagoon,2014-09-02 18:30,Calidris mauri,33,L292857,True,wessan,False,-122.7781165,Western Sandpiper
S19655180,57.17012,False,St. Paul Island,2014-09-02 09:10,Calidris mauri,3,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19653457,49.1300647,False,Nanaimo River Estuary--Holden Creek,2014-09-02 17:29,Calidris mauri,8,L1540030,True,wessan,False,-123.8661216,Western Sandpiper
S19655272,30.5162566,True,La Salina (San Quintín),2014-09-02 11:00,Calidris mauri,92,L3067340,True,wessan,False,-116.0315681,Western Sandpiper
S19662891,34.4127959,False,Mission Creek outflow,2014-09-03 18:47,Calidris mauri,5,L465131,True,wessan,False,-119.6869361,Western Sandpiper
S19659687,45.7336245,False,Sauvie Island--The Narrows,2014-09-03 11:45,Calidris mauri,1000,L986099,True,wessan,True,-122.8162479,Western Sandpiper
S19663660,46.9444663,False,Ocean Shores--Oyhut Wildlife Area,2014-09-03 19:05,Calidris mauri,200,L109535,True,wessan,False,-124.1522412,Western Sandpiper
S19663918,57.17012,False,St. Paul Island,2014-09-03 10:30,Calidris mauri,3,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19663775,49.2058333,False,Iona Island--South Jetty,2014-09-03 15:00,Calidris mauri,15,L339173,True,wessan,False,-123.2627778,Western Sandpiper
S19742310,38.9397508,False,Tahoe Marsh--via San Francisco Ave.,2014-09-04 18:52,Calidris mauri,8,L1259871,True,wessan,True,-119.9931049,Western Sandpiper
S19722131,42.4099597,False,Agate Lake,2014-09-04 18:30,Calidris mauri,75,L389855,True,wessan,False,-122.7708006,Western Sandpiper
S19722121,47.2400462,False,Sheep Lake,2014-09-04 17:55,Calidris mauri,15,L251001,True,wessan,False,-117.920324,Western Sandpiper
S19722991,57.17012,False,St. Paul Island,2014-09-04 11:15,Calidris mauri,3,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19722611,49.4383849,False,ts’uḵw’um (Wilson Creek) Estuary,2014-09-04 17:05,Calidris mauri,4,L2313567,True,wessan,False,-123.7127495,Western Sandpiper
S19800737,38.9811631,False,Borax Lake,2014-09-05 19:20,Calidris mauri,3,L589070,True,wessan,False,-122.6706791,Western Sandpiper
S19741993,43.3362322,False,South Slough,2014-09-05 18:45,Calidris mauri,,L729108,True,wessan,False,-124.3204408,Western Sandpiper
S19742133,46.9719365,False,Ocean Shores -- outer beach,2014-09-05 18:58,Calidris mauri,30,L450264,True,wessan,False,-124.1688538,Western Sandpiper
S19743877,57.17012,False,St. Paul Island,2014-09-05 10:14,Calidris mauri,8,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19742116,49.1,False,Reifel Bird Sanctuary,2014-09-05 15:45,Calidris mauri,30,L124345,True,wessan,False,-123.185,Western Sandpiper
S19738275,21.6070037,False,Granja de Camarón Chacalilla,2014-09-05 07:30,Calidris mauri,70,L592109,True,wessan,False,-105.2806091,Western Sandpiper
S19756953,33.845884,True,"US-CA-Long Beach - 33.8459x-118.2031 - Sep 6, 2014, 7:57 PM",2014-09-06 18:57,Calidris mauri,21,L3072939,True,wessan,False,-118.203128,Western Sandpiper
S19771959,45.505,False,Jackson Bottom Wetlands Preserve,2014-09-06 18:30,Calidris mauri,30,L159584,True,wessan,False,-122.9889,Western Sandpiper
S19756713,47.5355731,False,James T. Slavin Conservation Area,2014-09-06 18:16,Calidris mauri,2,L526215,True,wessan,False,-117.4245787,Western Sandpiper
S19755133,57.17012,False,St. Paul Island,2014-09-06 13:25,Calidris mauri,14,L261146,True,wessan,False,-170.296751,Western Sandpiper
S19756719,49.2058333,False,Iona Island--South Jetty,2014-09-06 17:58,Calidris mauri,3,L339173,True,wessan,False,-123.2627778,Western Sandpiper
S19752044,31.7176905,False,Estero Punta Banda--Embalse,2014-09-06 07:50,Calidris mauri,22,L619238,True,wessan,False,-116.6521454,Western Sandpiper
S19753547,21.6070037,False,Granja de Camarón Chacalilla,2014-09-06 09:20,Calidris mauri,643,L592109,True,wessan,False,-105.2806091,Western Sandpiper
S19769049,35.8520653,False,"Private Property ""H"" No Public Access",2014-09-07 21:35,Calidris mauri,,L1674368,True,wessan,False,-119.6358372,Western Sandpiper
S19776797,43.4210895,False,North Spit--old Weyco Settling Pond & deflation plain,2014-09-07 23:30,Calidris mauri,1,L800627,True,wessan,False,-124.2850935,Western Sandpiper
S19845180,46.63962,True,Tieton State Airport Marsh,2014-09-07 18:30,Calidris mauri,6,L2116243,True,wessan,False,-121.12238,Western Sandpiper
